"Pseudotime","Group"
2.02676742167211,"AM"
0.223476080088392,"AM"
0.26793231329267,"CM"
2.35494873519438,"AM"
0.19774233877009,"AM"
0.232399804355101,"AM"
0.848206114121925,"AM"
0.302706636589437,"AM"
1.62434262653403,"AM"
2.89585461336637,"AM"
0.304176226111639,"AM"
0.876484795850497,"AM"
0.254600649125788,"AM"
1.85093789128874,"AM"
0.248012213673924,"AM"
0.739094056983964,"AM"
0.207685638517472,"AM"
0.187517323282793,"AM"
0.253417681744627,"AM"
0.252093977713324,"CM"
0.347796357383158,"CM"
0.334055936508185,"AM"
0.316026590388775,"CM"
0.506826529095798,"AM"
3.03213265929426,"AM"
0.26404735238453,"AM"
0.267814971737473,"AM"
2.86057736387,"AM"
0.192636145139872,"AM"
0.310424592965198,"AM"
0.741125325334652,"AM"
0.270247800289852,"AM"
0.779578748418723,"CM"
0.559312296697512,"AM"
0.221444114461335,"AM"
0.260818719185498,"AM"
0.267322478140196,"AM"
0.491992749825081,"CM"
0.279365427881058,"AM"
0.318830482257465,"CM"
2.93310806393649,"AM"
0.327439011777701,"CM"
0.330586295725524,"AM"
0.332967426228425,"AM"
0.796606377747166,"AM"
0.276589597379843,"AM"
0.847480119345548,"AM"
0.287879446361566,"AM"
0.134896086125454,"CM"
0.258099892919908,"AM"
0.987168365012129,"AM"
0.229149108711799,"CM"
0.254517262342013,"AM"
1.21701018277595,"CM"
0.143730339579448,"AM"
0.86703250143464,"AM"
1.99917719268083,"AM"
0.188269240769603,"AM"
0.375009936683108,"AM"
0.317139505837645,"CM"
0.277637154795109,"CM"
0.531549052262967,"AM"
0.48219717377118,"AM"
1.71075523342192,"AM"
0.25007150904236,"AM"
0.8688035534514,"AM"
0.290041788624286,"CM"
0.687300030519992,"AM"
0.317868267650168,"CM"
0.264474290652406,"AM"
0.244226644182223,"AM"
0.263300789729739,"AM"
0,"CM"
0.317564556004483,"AM"
0.343204673248956,"AM"
0.555128974456845,"AM"
0.961534611280833,"AM"
0.351769413734181,"CM"
0.302663836438654,"CM"
0.261942791381776,"AM"
0.175859025424062,"AM"
0.603996211634845,"AM"
0.32560062928685,"AM"
0.819144886979893,"AM"
0.26777447754856,"AM"
0.360271233006978,"CM"
1.14126580552603,"CM"
0.297794532940533,"AM"
0.326361988002187,"CM"
2.17018812043437,"AM"
0.304379876847465,"CM"
0.335075683370049,"AM"
0.245735000550741,"AM"
0.554238656707125,"AM"
0.205744684453757,"AM"
0.543467970119377,"AM"
0.332329932143039,"CM"
1.47671182838383,"AM"
0.319828234944042,"AM"
0.300817463181116,"AM"
0.224967715816485,"CM"
0.518794798254679,"AM"
0.256797146883925,"AM"
1.06323644417962,"AM"
0.369567436693679,"CM"
0.24626930671306,"AM"
0.357725635759723,"AM"
0.256448981766988,"CM"
0.317071061123831,"CM"
0.335577927511412,"CM"
0.340679471280305,"AM"
0.27992319413067,"CM"
0.255547243948238,"AM"
0.305912417983248,"CM"
0.30594703633933,"AM"
0.251129778064938,"AM"
0.281482025929624,"CM"
1.02698942570137,"AM"
0.27250391838583,"AM"
0.299079695530666,"CM"
0.236231454578078,"AM"
1.2914538713881,"AM"
0.300661328701813,"AM"
0.197746694951345,"CM"
0.177212660674517,"AM"
0.318933032200888,"AM"
0.717928752108464,"CM"
1.17800606323235,"AM"
0.440280632189976,"AM"
0.999501017776485,"CM"
0.271465695691952,"AM"
0.313876018359408,"CM"
0.12893765959438,"AM"
0.994302271396817,"AM"
0.294981450153534,"AM"
0.291071336746251,"AM"
0.309763342956606,"CM"
0.796586068681602,"AM"
0.253038361250462,"AM"
2.3939358442277,"AM"
0.299777385749025,"AM"
3.01723776401732,"AM"
0.227861082265608,"AM"
0.256278375364746,"AM"
0.334244579322083,"AM"
0.162796220393176,"AM"
0.325839683873117,"CM"
0.252040777678241,"AM"
0.198351627167731,"AM"
3.10203865912716,"AM"
0.164508401811254,"AM"
0.325135079355649,"AM"
0.187791429058318,"CM"
0.303534863227261,"AM"
0.191614287136403,"CM"
0.372528950750546,"AM"
0.273125877713678,"AM"
1.16454581054533,"AM"
0.509888838124501,"AM"
0.301159241005311,"AM"
0.312223839357813,"CM"
0.371908795196649,"AM"
0.254072710337576,"CM"
0.24903908947211,"AM"
0.333653285836953,"AM"
0.175570237255524,"AM"
0.221881903583688,"AM"
0.283183276178626,"AM"
0.365816837970911,"CM"
0.72433297451887,"CM"
0.430091125705551,"AM"
0.354499321406465,"AM"
0.832664101401922,"AM"
0.979244788676535,"AM"
0.287942717129778,"CM"
0.311203016662915,"AM"
0.250539623490807,"CM"
0.78269591474885,"AM"
0.285998265976842,"CM"
0.372782007044476,"CM"
0.378567776970676,"AM"
0.305895802863052,"AM"
0.254259958465045,"AM"
0.260729103475169,"AM"
0.253944225567578,"AM"
1.13389622267879,"AM"
2.56698787273661,"AM"
0.292181463809501,"AM"
0.279322672972173,"AM"
0.709271933958074,"AM"
0.255248823064855,"CM"
0.2980486848404,"AM"
0.296705572328205,"AM"
0.331234096476532,"AM"
0.30322526220888,"AM"
0.346139850724782,"CM"
0.290835255908089,"CM"
0.256122353498313,"AM"
0.256211802168353,"AM"
0.305147099605916,"AM"
0.318827912857022,"CM"
0.246646396710519,"AM"
1.9492661650958,"AM"
0.1713381234651,"AM"
0.358901030915334,"AM"
0.286772655680071,"AM"
0.175672094682544,"AM"
0.21679136114087,"AM"
0.333891538567533,"CM"
0.444768473916562,"CM"
0.738599711502002,"CM"
2.99002393886508,"AM"
0.299959904560973,"AM"
0.320003456196173,"AM"
0.233131525113907,"AM"
0.268985134822175,"AM"
0.276900677598287,"AM"
0.282991464912239,"AM"
0.346179656128902,"AM"
0.973004626880035,"AM"
0.296315578416878,"AM"
